Ishtar
Medusa, \(Rider Series\), \(Fate Series\)
Ereshkigal
Tamamo, \(Fate Series\)
Peri, \(Fire Emblem Series\)
Sothis, \(Fire Emblem Series\)
Rhea, \(Fire Emblem Series\)
Ahri, \(League Of Legends Series\)
Jinx, \(League Of Legends Series\)
Jinx, \(Arcane Series\)
Sona, \(League Of Legends Series\)
Akali, \(League Of Legends Series\)
Lux, \(League Of Legends Series\)
Riven, \(League Of Legends Series\)
Katarina, \(League Of Legends Series\)
Evelynn, \(League Of Legends Series\)
Xayah, \(League Of Legends Series\)
Irelia, \(League Of Legends Series\)
Caitlyn, \(League Of Legends Series\)
Soraka, \(League Of Legends Series\)
Vi, \(League Of Legends Series\)
Vi, \(Arcane Series\)
Nidalee, \(League Of Legends Series\)
Ashe, \(League Of Legends Series\)
Leona, \(League Of Legends Series\)
Orianna, \(League Of Legends Series\)
Kai'sa, \(League Of Legends Series\)
Fiora, \(League Of Legends Series\)
Lulu, \(League Of Legends Series\)
Janna, \(League Of Legends Series\)
Annie, \(League Of Legends Series\)
Sivir, \(League Of Legends Series\)
Karma, \(League Of Legends Series\)
Seraphine, \(League Of Legends Series\)
Gwen, \(League Of Legends Series\)
Camille, \(League Of Legends Series\)
Senna, \(League Of Legends Series\)
Samira, \(League Of Legends Series\)
Lillia, \(League Of Legends Series\)
Sena, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Kobato, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Rike, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Yozora, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Yukimura, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Kate, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Maria, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Hinata, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Stella, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Aoi, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Karin, \(Haganai: Boku Wa Tomodachi Ga Sukunai Series\)
Noire, \(Hyperdimension Neptunia Series\)
Neptune, \(Hyperdimension Neptunia Series\)
Nepgear, \(Hyperdimension Neptunia Series\)
Vert, \(Hyperdimension Neptunia Series\)
Blanc, \(Hyperdimension Neptunia Series\)
Plutia, \(Hyperdimension Neptunia Series\)
5pb., \(Hyperdimension Neptunia Series\)
Rosa, \(Pokemon Series\)
Hilda, \(Pokemon Series\)
Inori, \(Guilty Crown Series\)
Mana, \(Guilty Crown Series\)
Tsugumi, \(Guilty Crown Series\)
Mirai, \(Kyoukai No Kanata Series\)
Mitsuki, \(Kyoukai No Kanata Series\)
Ai, \(Kyoukai No Kanata Series\)
Izumi, \(Kyoukai No Kanata Series\)
Sakura, \(Kyoukai No Kanata Series\)
Shizuku, \(Kyoukai No Kanata Series\)
Ayaka, \(Kyoukai No Kanata Series\)
Miu, \(Danganronpa Series\)
Esdeath, \(Akame Ga Kiru! Series\)
Akame, \(Akame Ga Kiru! Series\)
Chelsea, \(Akame Ga Kiru! Series\)
Mine, \(Akame Ga Kiru! Series\)
Leone, \(Akame Ga Kiru! Series\)
Sheele, \(Akame Ga Kiru! Series\)
Kurome, \(Akame Ga Kiru! Series\)
Sayo, \(Akame Ga Kiru! Series\)
Air, \(Akame Ga Kiru! Series\)
Poney, \(Akame Ga Kiru! Series\)
Taeko, \(Akame Ga Kiru! Series\)
Lilly, \(Katawa Shoujo Series\)
Hanako, \(Katawa Shoujo Series\)
Emi, \(Katawa Shoujo Series\)
Rin, \(Katawa Shoujo Series\)
Shizune, \(Katawa Shoujo Series\)
Misha, \(Katawa Shoujo Series\)
Rem, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Shera, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Edelgard, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Sylvie, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Krebskulm, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Rafleisha, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Rose, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Alicia, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Lumachina, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Medios, \(Isekai Maou To Shoukan Shoujo No Dorei Majutsu Series\)
Zelda, \(The Legend Of Zelda Series\)
Paya, \(The Legend Of Zelda Series\)
Mipha, \(The Legend Of Zelda Series\)
Urbosa, \(The Legend Of Zelda Series\)
Malon, \(The Legend Of Zelda Series\)
Linkle, \(The Legend Of Zelda Series\)
Purah, \(The Legend Of Zelda Series\)
Schwi Dola, \(No Game No Life Series\)
Tamaki, \(Fire Force Series\)
Maki, \(Fire Force Series\)
Iris, \(Fire Force Series\)
Hibana, \(Fire Force Series\)
Lisa, \(Fire Force Series\)
Yue, \(Arifureta Series\)
Shia, \(Arifureta Series\)
Tio, \(Arifureta Series\)
Kaori, \(Arifureta Series\)
Myu, \(Arifureta Series\)
Miledi, \(Arifureta Series\)
Samus Aran, \(Metroid Series\)
Samus, \(Metroid Series\)
Akatsuki, \(Log Horizon Series\)
Raynesia, \(Log Horizon Series\)
Marielle, \(Log Horizon Series\)
Rosalina, \(Mario Series\)
Bowsette, \(Mario Series\)
Peach, \(Mario Series\)
Princess King Boo, \(Mario Series\)
Daisy, \(Mario Series\)
Rise Kujikawa, \(Persona 4 Series\)
Rise, \(Persona 4 Series\)
Chie, \(Persona 4 Series\)
Chie Satonaka, \(Persona 4 Series\)
Naoto, \(Persona 4 Series\)
Naoto Shirogane, \(Persona 4 Series\)
Yukiko, \(Persona 4 Series\)
Yukiko Amagi, \(Persona 4 Series\)
Marie, \(Persona 4 Series\)
Margaret, \(Persona 4 Series\)
Labrys, \(Persona 4 Series\)
Nanako, \(Persona 4 Series\)
Sayako, \(Persona 4 Series\)
Ai, \(Persona 4 Series\)
Noriko, \(Persona 4 Series\)
Yumi, \(Persona 4 Series\)
Mayumi, \(Mahouka Koukou No Rettousei Series\)
Miyuki, \(Mahouka Koukou No Rettousei Series\)
Erika, \(Mahouka Koukou No Rettousei Series\)
Angelina, \(Mahouka Koukou No Rettousei Series\)
Shizuku, \(Mahouka Koukou No Rettousei Series\)
Mari, \(Mahouka Koukou No Rettousei Series\)
Mitsui, \(Mahouka Koukou No Rettousei Series\)
Yumeko, \(Kakegurui Series\)
Mary, \(Kakegurui Series\)
Kirari, \(Kakegurui Series\)
Ririka, \(Kakegurui Series\)
Runa, \(Kakegurui Series\)
Yumemi, \(Kakegurui Series\)
Sayaka, \(Kakegurui Series\)
Itsuki, \(Kakegurui Series\)
Honebami, \(Kakegurui Series\)
Inaho, \(Kakegurui Series\)
Erimi, \(Kakegurui Series\)
Yuriko, \(Kakegurui Series\)
Suzune, \(Classroom Of The Elite Series\)
