ishtar
medusa, (rider series), (fate series)
ereshkigal
tamamo, (fate series)
bowsette, (mario series)
peach, (mario series)
princess king boo, (mario series)
daisy, (mario series)
rise kujikawa, (persona 4 series)
rise, (persona 4 series)
chie, (persona 4 series)
chie satonaka, (persona 4 series)
naoto, (persona 4 series)
naoto shirogane, (persona 4 series)
yukiko, (persona 4 series)
yukiko amagi, (persona 4 series)
marie, (persona 4 series)
margaret, (persona 4 series)
labrys, (persona 4 series)
nanako, (persona 4 series)
sayako, (persona 4 series)
ai, (persona 4 series)
noriko, (persona 4 series)
yumi, (persona 4 series)
mayumi, (Mahouka Koukou no Rettousei series)
miyuki, (Mahouka Koukou no Rettousei series)
erika, (Mahouka Koukou no Rettousei series)
angelina, (Mahouka Koukou no Rettousei series)
shizuku, (Mahouka Koukou no Rettousei series)
mari, (Mahouka Koukou no Rettousei series)
mitsui, (Mahouka Koukou no Rettousei series)
yumeko, (Kakegurui series)
mary, (Kakegurui series)
kirari, (Kakegurui series)
ririka, (Kakegurui series)
runa, (Kakegurui series)
yumemi, (Kakegurui series)
sayaka, (Kakegurui series)
itsuki, (Kakegurui series)
honebami, (Kakegurui series)
inaho, (Kakegurui series)
erimi, (Kakegurui series)
yuriko, (Kakegurui series)
suzune, (classroom of the elite series)
honami, (classroom of the elite series)
airi, (classroom of the elite series)
sae, (classroom of the elite series)
kei, (classroom of the elite series)
arisu, (classroom of the elite series)
kikyou, (classroom of the elite series)
hiyori, (classroom of the elite series)
mikoto, (Toaru Majutsu no Index series)
misaki, (Toaru Majutsu no Index series)
kanzaki, (Toaru Majutsu no Index series)
shirai, (Toaru Majutsu no Index series)
index, (Toaru Majutsu no Index series)
emi, (Hataraku Maou-sama! series)
chiho, (Hataraku Maou-sama! series)
sarada, (boruto series)
hanabi, (boruto series)
himawari, (boruto series)
mirai, (boruto series)
chocho, (boruto series)
hako, (boruto series)
evileye, (overlord series)
mitsuru kirijo, (persona 3 series)
mitsuru, (persona 3 series)
aigis, (persona 3 series)
yukari, (persona 3 series)
elizabeth, (persona 3 series)
fuuka, (persona 3 series)
fuuka yamagishi, (persona 3 series)
chidori, (persona 3 series)
chihiro, (persona 3 series)
isako, (persona 3 series)
metis, (persona 3 series)
rio, (persona 3 series)
yuko, (persona 3 series)
androssi, (tower of god series)
rachel, (tower of god series)
yeon, (tower of god series)
pyra, (xenoblade series)
mythra, (xenoblade series)
nia, (xenoblade series)
pneuma, (xenoblade series)
pandoria, (xenoblade series)
megumi, (konosuba series)
aqua, (konosuba series)
umiko, (new game! series)
rukia, (bleach series)
merlin, (seven deadly sins series)
velma, (scooby doo series)
daphne, (scooby doo series)
starfire, (teen titans series)
raven, (teen titans series)
kim possible, (kim possible series)
miranda lawson, (mass effect series)
tali, (mass effect series)
liara, (mass effect series)
edi, (mass effect series)
samara, (mass effect series)
ashley, (mass effect series)
violet, (the incredibles series)
helen, (the incredibles series)
weiss schnee, (rwby series)
blake, (rwby series)
ruby rose, (rwby series)
samsung sam
hitomi, (dead or alive series)
princess zelda, (zelda series)
wonder woman, (dc comics series)
claire redfield, (resident evil series)
jill valentine, (resident evil series)
ada wong, (resident evil series)
ayane, (dead or alive series)
marie rose, (dead or alive series)
kasumi, (dead or alive series)
yennefer, (the witcher series)
ciri, (the witcher series)
triss, (the witcher series)
shantae, (shantae series)
elsa, (frozen series)
anna, (frozen series)
zero two, (darling in the franxx series)
lara, (tomb raider series)
lara croft, (tomb raider series)
shiro, (deadman wonderland series)
bayonetta
asuka, (senran kagura series)
katsuragi, (senran kagura series)
yumi, (senran kagura series)
honoka, (senran kagura series)
hikage, (senran kagura series)
haruka, (senran kagura series)
homura, (senran kagura series)
hibari, (senran kagura series)
shiki, (senran kagura series)
miyabi, (senran kagura series)
yagyu, (senran kagura series)
yomi, (senran kagura series)
murakumo, (senran kagura series)
ayame, (senran kagura series)
mirai, (senran kagura series)
leo, (senran kagura series)
naraku, (senran kagura series)
hanabi, (senran kagura series)
kumi, (senran kagura series)
ibuki, (senran kagura series)
ashiya, (senran kagura series)
miki, (senran kagura series)
tsubaki, (senran kagura series)
reki, (senran kagura series)
sagiri, (eromanga-sensei series)
elf, (eromanga-sensei series)
tomoe, (eromanga-sensei series)
megumi, (eromanga-sensei series)
sayaka, (strike the blood series)
yukina, (strike the blood series)
la folia, (strike the blood series)
aiba, (strike the blood series)
natsuki, (strike the blood series)
reina, (strike the blood series)
nagisa, (strike the blood series)
kanon, (strike the blood series)
astarte, (strike the blood series)
Irina, (assasination classroom series)
kaede, (assasination classroom series)
ritsu, (assasination classroom series)
rio, (assasination classroom series)
rinka, (assasination classroom series)
hinano, (assasination classroom series)
toph, (avatar series)
ty lee, (avatar series)
katara, (avatar series)
azula, (avatar series)
suki, (avatar series)
mai, (avatar series)
june, (avatar series)
jin, (avatar series)
maya, (ace attorney series)
mia, (ace attorney series)
franziska, (ace attorney series)
athena, (ace attorney series)
kay, (ace attorney series)
setsuna, (Redo of Healer series)
flare, (Redo of Healer series)
kureha, (Redo of Healer series)
eve, (Redo of Healer series)
norn, (Redo of Healer series)
lapiz, (Redo of Healer series)
sena, (boku wa tomodachi ga sukunai series)
kobato, (boku wa tomodachi ga sukunai series)
yozora, (boku wa tomodachi ga sukunai series)
rika, (boku wa tomodachi ga sukunai series)
yukimura, (boku wa tomodachi ga sukunai series)
kate, (boku wa tomodachi ga sukunai series)
maria, (boku wa tomodachi ga sukunai series)
hinata, (boku wa tomodachi ga sukunai series)
stella, (boku wa tomodachi ga sukunai series)
aoi, (boku wa tomodachi ga sukunai series)
karin, (boku wa tomodachi ga sukunai series)
kongou, (KanColle series)
shimakaze, (KanColle series)
hibiki, (KanColle series)
kashima, (KanColle series)
hamakaze, (KanColle series)
nagato, (KanColle series)
haruna, (KanColle series)
yamato, (KanColle series)
iowa, (KanColle series)
yuudachi, (KanColle series)
amatsukaze, (KanColle series)
bismarck, (KanColle series)
IA, (vocaloid series)
yui, (darker than black series)
velvet, (tales of berserk series)
emma, (the promised neverland series)
hermione granger, (harry potter series)
luna lovegood, (harry potter series)
ginny weasley, (harry potter series)
daphne greengrass, (harry potter series)
astoria greengrass, (harry potter series)
hermione, (harry potter series)
luna, (harry potter series)
ginny, (harry potter series)
daphne, (harry potter series)
astoria, (harry potter series)
arcueid, (Tsukihime series)
hisui, (Tsukihime series)
emma watson
emilia clarke
makio, (demon slayer series)
carrie fisher
marilyn monroe
megan fox
natalie portman
jennie
jennie, (blackpink series)
lalisa
lisa, (blackpink series)
jisoo
jisso, (blackpink series)
rose
rose, (blackpink series)
